comment_user,gender,model
Apuntamos al desarrollo del riego y el acceso del agua en la parcela para todos los perfiles de productos y para todos los sectores, lo que va a ge",M,openai/gpt-4o-mini-2024-07-18
"alvarodelgadouy
 
2w
Estas son de las cosas más lindas que se pueden anunciar en una campaña electoral.
Jerarquizar las políticas públicas en discapacidad y que sean una política de Estado. Estamos priorizando lo importante.
#ReelegíUnBuenGobierno
#UnaNue",M,openai/gpt-4o-mini-2024-07-18
"alvarodelgadouy
 
2w
No es lo mismo quién gane la elección.
Puedo coincidir que el Uruguay es en términos imaginarios una carretera con dos vías, una muy corrida para la izquierda, y con rumbos inversos: nosotros vamos hacia el futuro y otros van hacia el",M,openai/gpt-4o-mini-2024-07-18
"alvarodelgadouy
 
2w
Recargando energías con Moro en el campo.",M,openai/gpt-4o-mini-2024-07-18
"alvarodelgadouy
 
2w
Todas las personas con discapacidad en la educación todos los días. #CampañaDeIdeas
Según los datos preeliminares del último censo, aproximadamente el 16% de los uruguayos tiene algún tipo de discapacidad.
Este Gobierno hizo mucho per",M,openai/gpt-4o-mini-2024-07-18
"alvarodelgadouy
 
2w
Todas las personas con discapacidad en la educación todos los días. #campañadeideas",M,openai/gpt-4o-mini-2024-07-18
"alvarodelgadouy
 
3w
Así vivíamos ayer la previa a un Masoller muy especial.

¡Viva Saravia, viva el Partido Nacional!",M,openai/gpt-4o-mini-2024-07-18
"alvarodelgadouy
 
3w
Con Pipe en el estadio en la despedida del gran Luis Suárez, con todo Uruguay!!!",M,openai/gpt-4o-mini-2024-07-18
"alvarodelgadouy
 
3w
Después de venir todos los años desde 2004, hoy tuve el honor de dirigirme a los blancos al pie del Monumento a Saravia y comprometerme a hacer el mayor de los esfuerzos para ganar la elección y para hacer un Gobierno que valga la pen",M,openai/gpt-4o-mini-2024-07-18
"alvarodelgadouy
 
3w
En el Valle del Lunarejo en la previa de un Masoller muy especial. Qué lindo encontrarnos a homenajear a Aparicio Saravia a 50 días de la elección para reafirmar los valores y visión de futuro que nos une.",M,openai/gpt-4o-mini-2024-07-18
"alvarodelgadouy
 
3w
Queremos ganar, pero queremos hacer algo mucho más importante que ganar que es gobernar para todos.

#ReelegíUnBuenGobierno
#UnaNuevaMirada",M,openai/gpt-4o-mini-2024-07-18
"alvarodelgadouy
 
4d
Vamos a gobernar para todos.
Por eso al otro día de ser electos, vamos a ir a buscar al FA para que en algunos temas en los que estamos de acuerdo podamos construir políticas nacionales, más allá de las luchas electorales.
📍Salto.
#Re",M,openai/gpt-4o-mini-2024-07-18
"alvarodelgadouy
 
4w
Asistimos a la Inauguración del Laboratorio del Programa en Alimentos y Salud Humana de la Facultad de Medicina de la Universidad de la República.",M,openai/gpt-4o-mini-2024-07-18
"alvarodelgadouy
 
4w
Recibimos a Leonardo Cipriani, que vino a manifestar sus ganas de ser candidato a la Intendencia de Canelones por la coalición republicana, representando al Partido Nacional.
¡Con todo! Canelones necesita un nuevo Gobierno.",M,openai/gpt-4o-mini-2024-07-18
"alvarodelgadouy
 
4w
Uruguay más barato #campañadeideas 🇺🇾",M,openai/gpt-4o-mini-2024-07-18
"alvarodelgadouy
 
4w
Uruguay Más Barato Para Vivir y Para Producir.
#ReelegíUnBuenGobierno
#UnaNuevaMirada
#CampañaDeIdeas",M,openai/gpt-4o-mini-2024-07-18
"alvarodelgadouy
 
5w
Contamos con el Mejor Equipo Económico que ha tenido el Uruguay: es el equipo del actual Gobierno que puso la casa en orden, que consiguió que los uruguayos tuviéramos el salario real más importante de los últimos 49 años; entre mucho",M,openai/gpt-4o-mini-2024-07-18
"alvarodelgadouy
 
5w
En la conmemoración del 199° aniversario de la Declaratoria de la Independencia en Florida.",M,openai/gpt-4o-mini-2024-07-18
"alvarodelgadouy
 
5w
Propuesta Social Educativa #CampañaDeIdeas
#ReelegíUnBuenGobierno
#UnaNuevaMirada",M,openai/gpt-4o-mini-2024-07-18
"alvarodelgadouy
 
6d
PLAN FAMILIAS: un plan innovador e integral para apoyar a la primera infancia y a las familias con niños. Está directamente enfocado en dos sectores: los más pobres y a la clase media.
#CampañaDeIdeas
#ReelegíUnBuenGobierno
#UnaNuevaM",M,openai/gpt-4o-mini-2024-07-18
"alvarodelgadouy
 
6w
Además de generar propuestas, tenemos que explicarlas para que la gente, con toda la información, pueda elegir no solo quién está más preparado para llevarlas a cabo, sino también quién tiene mejor equipo e ideas para cambiar la reali",M,openai/gpt-4o-mini-2024-07-18
"alvarodelgadouy
 
6w
En este Gobierno, iniciamos la tan postergada transformación educativa: desburocratizamos la gobernanza, creamos más de 60 centros modelo de tiempo completo, un nuevo marco curricilar y aumentamos el egreso en la educación media super",M,openai/gpt-4o-mini-2024-07-18
"alvarodelgadouy
 
6w
Hicimos la Transformación Educativa. Hoy enfrentamos desafíos urgentes que requieren una política de shock para acelerarla.
En los quintiles más pobres, más de 2 de cada 3 jóvenes no terminan el liceo, para que tengan más oportunidade",M,openai/gpt-4o-mini-2024-07-18
"alvarodelgadouy
 
6w
Hoy estuvimos en el Encuentro Nacional y Agrupación de Gobierno de El Futuro es D Centro, festejando el primer aniversario de D Centro, un sector lleno de energía e ilusión, formado por gente de todo el país y que nació con el objetiv",M,openai/gpt-4o-mini-2024-07-18
"alvarodelgadouy
 
7w
#ReelegíUnBuenGobierno
Convención Nacional del @partidonacionaluy",M,openai/gpt-4o-mini-2024-07-18
"alvarodelgadouy
 
7w
#UnaNuevaMirada",M,openai/gpt-4o-mini-2024-07-18
"alvarodelgadouy
 
7w
Convención del Partido Nacional.",M,openai/gpt-4o-mini-2024-07-18
"alvarodelgadouy
 
7w
Fórmula ✔️✔️
Programa ✔️✔️
Tremendo equipo ✔️✔️

Vamos juntos a reelegir un buen gobierno ✔️✔️",M,openai/gpt-4o-mini-2024-07-18
"alvarodelgadouy
 
7w
Hoy como candidato del Partido Nacional asumo el compromiso de dejar el alma en la cancha para reelegir un buen gobierno y para que el Uruguay no retroceda.
¡Vamos para adelante, solo para adelante!
#ReelegíUnBuenGobierno
#DelgadoRipo",M,openai/gpt-4o-mini-2024-07-18
"alvarodelgadouy
 
7w
Muy feliz cumpleaños presidente y amigo, por mucho más camino y sueños compartidos.",M,openai/gpt-4o-mini-2024-07-18
"alvarodelgadouy
 
7w
Nos comprometemos a generar más empleo, fundamentalmente en el interior y para los jóvenes, a seguir aumentando el salario real y a bajar el costo de vida.
#CampañaDeIdeas #ReelegíUnBuenGobierno
#UnaNuevaMirada",M,openai/gpt-4o-mini-2024-07-18
"alvarodelgadouy
 
8w
Congreso Nacional de la Juventud 2024",M,openai/gpt-4o-mini-2024-07-18
"alvarodelgadouy
 
8w
Hoy en el Congreso Nacional de la Juventud le pedí a los jóvenes de nuestro partido que agarren fuerte la bandera, que salgan a militar con el compromiso, ganas y entusiasmo de siempre.
Vamos a demostrarle a la gente que estamos const",M,openai/gpt-4o-mini-2024-07-18
"alvarodelgadouy
 
9w
Diego Labat presidió el Banco Central del Uruguay en años desafiantes pero su visión, solvencia y serenidad le permitieron, junto a un gran equipo económico, alcanzar logros importantes que nos benefician a todos. Uno de ellos fue lle",M,openai/gpt-4o-mini-2024-07-18
"alvarodelgadouy
 
9w
Felicitaciones a @javiergarcia_uy y a todos los que forman parte del @espacio.cuarenta por los 16 años de esta agrupación que, con mucho esfuerzo y compromiso, se transformó en un proyecto político que marcó gran parte de la historia ",M,openai/gpt-4o-mini-2024-07-18
"alvarodelgadouy
 
9w
Hoy mi madre cumple 81 años, ¡feliz cumple, mamá! ¡Te quiero mucho!",M,openai/gpt-4o-mini-2024-07-18
"alvarodelgadouy
 
Edited
•
13w
¡GRACIAS!",M,openai/gpt-4o-mini-2024-07-18
"alvarodelgadouy
 
Edited
•
8w
Tenemos el mejor equipo de Economía que ha tenido el Uruguay.
Hoy presentamos a nuestro equipo y a Diego Labat como nuestro futuro ministro de Economía. Diego es de esas personas que tomaron la decisión de cambiar la realidad",M,openai/gpt-4o-mini-2024-07-18
alvaroerrasquin,M,openai/gpt-4o-mini-2024-07-18
alvaroestevea,M,openai/gpt-4o-mini-2024-07-18
alvarof.85,M,openai/gpt-4o-mini-2024-07-18
alvaroffm,M,openai/gpt-4o-mini-2024-07-18
alvarogil86,M,openai/gpt-4o-mini-2024-07-18
alvarogp07,M,openai/gpt-4o-mini-2024-07-18
alvaroidk,M,openai/gpt-4o-mini-2024-07-18
alvarolopez1098,M,openai/gpt-4o-mini-2024-07-18
alvarolucianogarcia10,M,openai/gpt-4o-mini-2024-07-18
alvaromartinezzv,M,openai/gpt-4o-mini-2024-07-18
alvaromrovero,M,openai/gpt-4o-mini-2024-07-18
alvaromunoz387,M,openai/gpt-4o-mini-2024-07-18
alvaroo.mino,M,openai/gpt-4o-mini-2024-07-18
alvaroooook93,M,openai/gpt-4o-mini-2024-07-18
alvaropaulvh,M,openai/gpt-4o-mini-2024-07-18
alvaroperezcarli,M,openai/gpt-4o-mini-2024-07-18
alvaroreyes2440,M,openai/gpt-4o-mini-2024-07-18
alvaroriffo66,M,openai/gpt-4o-mini-2024-07-18
alvarorios2110,M,openai/gpt-4o-mini-2024-07-18
alvarosantosroman,M,openai/gpt-4o-mini-2024-07-18
alvarotorelli,M,openai/gpt-4o-mini-2024-07-18
alvarotvargas,M,openai/gpt-4o-mini-2024-07-18
alvarovasco69,M,openai/gpt-4o-mini-2024-07-18
alvaroviva23,M,openai/gpt-4o-mini-2024-07-18
alvarovparra,M,openai/gpt-4o-mini-2024-07-18
alvarozicarelli,M,openai/gpt-4o-mini-2024-07-18
alvertemaximiliano,M,openai/gpt-4o-mini-2024-07-18
alvesjuanma,M,openai/gpt-4o-mini-2024-07-18
alvez.eva,F,openai/gpt-4o-mini-2024-07-18
alvez0570,0,openai/gpt-4o-mini-2024-07-18
alvezfacundo,M,openai/gpt-4o-mini-2024-07-18
alviraemi,F,openai/gpt-4o-mini-2024-07-18
alvitesusana,F,openai/gpt-4o-mini-2024-07-18
alvizojoaquin,M,openai/gpt-4o-mini-2024-07-18
alwolfofficial,M,openai/gpt-4o-mini-2024-07-18
alxblu95,0,openai/gpt-4o-mini-2024-07-18
alxbn8564,0,openai/gpt-4o-mini-2024-07-18
alxssajade,F,openai/gpt-4o-mini-2024-07-18
alxstorch,0,openai/gpt-4o-mini-2024-07-18
aly_cueto,F,openai/gpt-4o-mini-2024-07-18
alycanta.56,F,openai/gpt-4o-mini-2024-07-18
alycuevass,F,openai/gpt-4o-mini-2024-07-18
alydm25,0,openai/gpt-4o-mini-2024-07-18
alyhacha,F,openai/gpt-4o-mini-2024-07-18
alyna_rossy,F,openai/gpt-4o-mini-2024-07-18
alypalmi,F,openai/gpt-4o-mini-2024-07-18
alyskyew,F,openai/gpt-4o-mini-2024-07-18
alysmedina,F,openai/gpt-4o-mini-2024-07-18
alysonvicker,F,openai/gpt-4o-mini-2024-07-18
alywischous,F,openai/gpt-4o-mini-2024-07-18
alzbrent,0,openai/gpt-4o-mini-2024-07-18
alzugaraylautarook,M,openai/gpt-4o-mini-2024-07-18
alzugaraymercedes,F,openai/gpt-4o-mini-2024-07-18
am_israel_javerim,M,openai/gpt-4o-mini-2024-07-18
am_miura_art,0,openai/gpt-4o-mini-2024-07-18
am.c.87,0,openai/gpt-4o-mini-2024-07-18
ama__polita,F,openai/gpt-4o-mini-2024-07-18
ama.mdp,0,openai/gpt-4o-mini-2024-07-18
amach607,0,openai/gpt-4o-mini-2024-07-18
amachadop_24,M,openai/gpt-4o-mini-2024-07-18
amada_caceres1,F,openai/gpt-4o-mini-2024-07-18
amadacabrera505,F,openai/gpt-4o-mini-2024-07-18
amadamentoring,0,openai/gpt-4o-mini-2024-07-18
amadeo.gasparini,M,openai/gpt-4o-mini-2024-07-18
amadeofernando,M,openai/gpt-4o-mini-2024-07-18
amadeojulianc,M,openai/gpt-4o-mini-2024-07-18
amador5572,0,openai/gpt-4o-mini-2024-07-18
amadosebastian94,M,openai/gpt-4o-mini-2024-07-18
amadovivas,M,openai/gpt-4o-mini-2024-07-18
amaidana791,0,openai/gpt-4o-mini-2024-07-18
amalia_prieto21,F,openai/gpt-4o-mini-2024-07-18
amaliaanoll,F,openai/gpt-4o-mini-2024-07-18
amaliabarbieri_barnett,F,openai/gpt-4o-mini-2024-07-18
amaliacapdevila,F,openai/gpt-4o-mini-2024-07-18
amaliacristina,F,openai/gpt-4o-mini-2024-07-18
amaliadelgado20,F,openai/gpt-4o-mini-2024-07-18
amaliagarcia1975,F,openai/gpt-4o-mini-2024-07-18
amaliainesrak,F,openai/gpt-4o-mini-2024-07-18
amaliamunoz12,F,openai/gpt-4o-mini-2024-07-18
amalianoemigagliardini,F,openai/gpt-4o-mini-2024-07-18
amaliapeti,F,openai/gpt-4o-mini-2024-07-18
amaliasusanafernandez,F,openai/gpt-4o-mini-2024-07-18
amaliaubedajimenez,F,openai/gpt-4o-mini-2024-07-18
amalita_bulacios,F,openai/gpt-4o-mini-2024-07-18
amalitta64,F,openai/gpt-4o-mini-2024-07-18
amalizouk,F,openai/gpt-4o-mini-2024-07-18
amambayduhme,0,openai/gpt-4o-mini-2024-07-18
amanda__renee,F,openai/gpt-4o-mini-2024-07-18
amanda_ivina,F,openai/gpt-4o-mini-2024-07-18
amanda.huertas,F,openai/gpt-4o-mini-2024-07-18
amanda.patino1,F,openai/gpt-4o-mini-2024-07-18
amanda.righetti47,F,openai/gpt-4o-mini-2024-07-18
amandabecchio22,F,openai/gpt-4o-mini-2024-07-18
amandabrun137,F,openai/gpt-4o-mini-2024-07-18
amandacapece,F,openai/gpt-4o-mini-2024-07-18
amandafgracia,F,openai/gpt-4o-mini-2024-07-18
amandagomezrodriguez,F,openai/gpt-4o-mini-2024-07-18
amandahw10,F,openai/gpt-4o-mini-2024-07-18
amandajmoxley,F,openai/gpt-4o-mini-2024-07-18
amandalola24,F,openai/gpt-4o-mini-2024-07-18
amandalozina,F,openai/gpt-4o-mini-2024-07-18
amandaschettiniw,F,openai/gpt-4o-mini-2024-07-18
amandgalvez,F,openai/gpt-4o-mini-2024-07-18
amandoaleterno,M,openai/gpt-4o-mini-2024-07-18
amanece_que.no.es.poco,0,openai/gpt-4o-mini-2024-07-18
amanservigi,M,openai/gpt-4o-mini-2024-07-18
amapola.perez.144,F,openai/gpt-4o-mini-2024-07-18
amapoladeco_sustentable,F,openai/gpt-4o-mini-2024-07-18
amapolarubi71,0,openai/gpt-4o-mini-2024-07-18
amar_el_mar17,0,openai/gpt-4o-mini-2024-07-18
amar_sin_hipocresia,0,openai/gpt-4o-mini-2024-07-18
amar.papel,0,openai/gpt-4o-mini-2024-07-18
amar.te.sana_,F,openai/gpt-4o-mini-2024-07-18
amara.llmzrs,F,openai/gpt-4o-mini-2024-07-18
amaral.doug,M,openai/gpt-4o-mini-2024-07-18
amarantaromano,F,openai/gpt-4o-mini-2024-07-18
amarantepatri,F,openai/gpt-4o-mini-2024-07-18
amaras.amar.amarte,F,openai/gpt-4o-mini-2024-07-18
amarebre,0,openai/gpt-4o-mini-2024-07-18
amarga_obrero,M,openai/gpt-4o-mini-2024-07-18
amari.ug.atama,F,openai/gpt-4o-mini-2024-07-18
amaria2023,F,openai/gpt-4o-mini-2024-07-18
amaria3b,F,openai/gpt-4o-mini-2024-07-18
amariabrizu,F,openai/gpt-4o-mini-2024-07-18
amarillaadriana00_,F,openai/gpt-4o-mini-2024-07-18
amarillo.paula,F,openai/gpt-4o-mini-2024-07-18
amarillo7395,0,openai/gpt-4o-mini-2024-07-18
amarillovera,F,openai/gpt-4o-mini-2024-07-18
amarmaria_,F,openai/gpt-4o-mini-2024-07-18
amartabeatriz,F,openai/gpt-4o-mini-2024-07-18
amarudeayllusartaniani,0,openai/gpt-4o-mini-2024-07-18
amarunewen,0,openai/gpt-4o-mini-2024-07-18
amaruumarcia,F,openai/gpt-4o-mini-2024-07-18
amarylismabel,F,openai/gpt-4o-mini-2024-07-18
amas_de_casa_revolucion,0,openai/gpt-4o-mini-2024-07-18
amasoriginal,0,openai/gpt-4o-mini-2024-07-18
amat_nico,M,openai/gpt-4o-mini-2024-07-18
amatista0712,0,openai/gpt-4o-mini-2024-07-18
amatista88,0,openai/gpt-4o-mini-2024-07-18
amatistina,F,openai/gpt-4o-mini-2024-07-18
amatomartha,F,openai/gpt-4o-mini-2024-07-18
amayajesicapaola,F,openai/gpt-4o-mini-2024-07-18
amazaguez,0,openai/gpt-4o-mini-2024-07-18
amazonas.sil,F,openai/gpt-4o-mini-2024-07-18
amazonica_beauty,F,openai/gpt-4o-mini-2024-07-18
ambadino,0,openai/gpt-4o-mini-2024-07-18
ambar_eve,F,openai/gpt-4o-mini-2024-07-18
ambar.violeta.pino,F,openai/gpt-4o-mini-2024-07-18
ambarhessling,F,openai/gpt-4o-mini-2024-07-18
ambarsaboresparacompartir,0,openai/gpt-4o-mini-2024-07-18
ambarximenarivera,F,openai/gpt-4o-mini-2024-07-18
amber2137smith,0,openai/gpt-4o-mini-2024-07-18
ambersita_uwu,F,openai/gpt-4o-mini-2024-07-18
ambiburguer,0,openai/gpt-4o-mini-2024-07-18
ambrosianasilva,F,openai/gpt-4o-mini-2024-07-18
ambrosiasampirulo,0,openai/gpt-4o-mini-2024-07-18
ambrosonidiego,M,openai/gpt-4o-mini-2024-07-18
amdidywo,0,openai/gpt-4o-mini-2024-07-18
ame_privv_2012,0,openai/gpt-4o-mini-2024-07-18
ame.feliz,F,openai/gpt-4o-mini-2024-07-18
ameagle24,0,openai/gpt-4o-mini-2024-07-18
ameijeiraslaura,F,openai/gpt-4o-mini-2024-07-18
amelgarejook,F,openai/gpt-4o-mini-2024-07-18
ameli_aabraham,F,openai/gpt-4o-mini-2024-07-18
amelia.bravo.357,F,openai/gpt-4o-mini-2024-07-18
amelia.buffa,F,openai/gpt-4o-mini-2024-07-18
amelia.cosentino1,F,openai/gpt-4o-mini-2024-07-18
ameliaconcha64,F,openai/gpt-4o-mini-2024-07-18
ameliagalleni,F,openai/gpt-4o-mini-2024-07-18
ameliaoliver1956,F,openai/gpt-4o-mini-2024-07-18
ameliaquevedo,F,openai/gpt-4o-mini-2024-07-18
ameliargomezz,F,openai/gpt-4o-mini-2024-07-18
ameliaromerosamuel,F,openai/gpt-4o-mini-2024-07-18
ameliasantiano,F,openai/gpt-4o-mini-2024-07-18
ameliatemece,F,openai/gpt-4o-mini-2024-07-18
ameliatravela,F,openai/gpt-4o-mini-2024-07-18
ameliel59,F,openai/gpt-4o-mini-2024-07-18
ameliposa,F,openai/gpt-4o-mini-2024-07-18
amelisbeatriz,F,openai/gpt-4o-mini-2024-07-18
amelita_giordano,F,openai/gpt-4o-mini-2024-07-18
amelivintage,F,openai/gpt-4o-mini-2024-07-18
amenlaura,F,openai/gpt-4o-mini-2024-07-18
amenvero,F,openai/gpt-4o-mini-2024-07-18
americafirstnow2024,0,openai/gpt-4o-mini-2024-07-18
americajosefagutierrez,F,openai/gpt-4o-mini-2024-07-18
american_beauty_365,0,openai/gpt-4o-mini-2024-07-18
american_venezuelan_official,0,openai/gpt-4o-mini-2024-07-18
americo2887,M,openai/gpt-4o-mini-2024-07-18
americoluizcaputo,M,openai/gpt-4o-mini-2024-07-18
ameriseedu,0,openai/gpt-4o-mini-2024-07-18
amerisemirta,F,openai/gpt-4o-mini-2024-07-18
amgalland,M,openai/gpt-4o-mini-2024-07-18
ami27041974,0,openai/gpt-4o-mini-2024-07-18
amieloficial,M,openai/gpt-4o-mini-2024-07-18
amigoenvida,M,openai/gpt-4o-mini-2024-07-18
amigosdelparquesaavedra,0,openai/gpt-4o-mini-2024-07-18
amigurumireyes,0,openai/gpt-4o-mini-2024-07-18
amilcar_posting,M,openai/gpt-4o-mini-2024-07-18
amilcarbaci3,M,openai/gpt-4o-mini-2024-07-18
amilcarmarcucci,M,openai/gpt-4o-mini-2024-07-18
amilcarplenza,M,openai/gpt-4o-mini-2024-07-18
amin.ali.arg,M,openai/gpt-4o-mini-2024-07-18
amine.dfi,0,openai/gpt-4o-mini-2024-07-18
amir_beron,M,openai/gpt-4o-mini-2024-07-18
amir_vino,M,openai/gpt-4o-mini-2024-07-18
amir.tampahomes,M,openai/gpt-4o-mini-2024-07-18
amiraaa7000,F,openai/gpt-4o-mini-2024-07-18
amirfedz,M,openai/gpt-4o-mini-2024-07-18
amirhosseini1401,0,openai/gpt-4o-mini-2024-07-18
amisoriaa,F,openai/gpt-4o-mini-2024-07-18
amit_sagiv1,0,openai/gpt-4o-mini-2024-07-18
amiunes,F,openai/gpt-4o-mini-2024-07-18
amizurieta10,M,openai/gpt-4o-mini-2024-07-18
amlo.me,0,openai/gpt-4o-mini-2024-07-18
amma_arq,0,openai/gpt-4o-mini-2024-07-18
amma.indumentaria1191,0,openai/gpt-4o-mini-2024-07-18
ammatucuerpo,F,openai/gpt-4o-mini-2024-07-18
ammiratopablo,M,openai/gpt-4o-mini-2024-07-18
ammorosin,F,openai/gpt-4o-mini-2024-07-18
ammplitud,0,openai/gpt-4o-mini-2024-07-18
amnemoga,0,openai/gpt-4o-mini-2024-07-18
amoatoto,0,openai/gpt-4o-mini-2024-07-18
amodelfut,M,openai/gpt-4o-mini-2024-07-18
amoedoeladio,M,openai/gpt-4o-mini-2024-07-18
amontefiori,F,openai/gpt-4o-mini-2024-07-18
amontelirio,0,openai/gpt-4o-mini-2024-07-18
amontonandovivir,0,openai/gpt-4o-mini-2024-07-18
amoor_y_flores,F,openai/gpt-4o-mini-2024-07-18
amor_daniela,F,openai/gpt-4o-mini-2024-07-18
amor_unico33,0,openai/gpt-4o-mini-2024-07-18
amor.guillermo,M,openai/gpt-4o-mini-2024-07-18
amoranimalleo,0,openai/gpt-4o-mini-2024-07-18
amoraprimeravista073,0,openai/gpt-4o-mini-2024-07-18
amorcito_688,0,openai/gpt-4o-mini-2024-07-18
amoresalande,F,openai/gpt-4o-mini-2024-07-18
amorese93,0,openai/gpt-4o-mini-2024-07-18
amoreselizabet,F,openai/gpt-4o-mini-2024-07-18
amorestango,0,openai/gpt-4o-mini-2024-07-18
amoreterno1610,0,openai/gpt-4o-mini-2024-07-18
amorimanosmuebles,0,openai/gpt-4o-mini-2024-07-18
amorina_zabala,F,openai/gpt-4o-mini-2024-07-18
amorinadip,F,openai/gpt-4o-mini-2024-07-18
amorosas_margaritas,F,openai/gpt-4o-mini-2024-07-18
amorosjuan,M,openai/gpt-4o-mini-2024-07-18
amorumis_amigurumis,0,openai/gpt-4o-mini-2024-07-18
amotresenza,F,openai/gpt-4o-mini-2024-07-18
amparo_paraiso,F,openai/gpt-4o-mini-2024-07-18
amparo.bernardo,F,openai/gpt-4o-mini-2024-07-18
amparo1587,F,openai/gpt-4o-mini-2024-07-18
amparoaguirrepiazza,F,openai/gpt-4o-mini-2024-07-18
amparoanheliger,F,openai/gpt-4o-mini-2024-07-18
amparopampi,F,openai/gpt-4o-mini-2024-07-18
amparormolina,F,openai/gpt-4o-mini-2024-07-18
amparovinales,F,openai/gpt-4o-mini-2024-07-18
ampefortinero,M,openai/gpt-4o-mini-2024-07-18
ampi.ppaz,0,openai/gpt-4o-mini-2024-07-18
ampicordoba,0,openai/gpt-4o-mini-2024-07-18
ampiguirao,0,openai/gpt-4o-mini-2024-07-18
ampimaldonado,M,openai/gpt-4o-mini-2024-07-18
amrykalsanjls40,0,openai/gpt-4o-mini-2024-07-18
amsalvi,M,openai/gpt-4o-mini-2024-07-18
amsn87,0,openai/gpt-4o-mini-2024-07-18
amuerteconcristina,F,openai/gpt-4o-mini-2024-07-18
amufarrege,0,openai/gpt-4o-mini-2024-07-18
amvillalb437,0,openai/gpt-4o-mini-2024-07-18
amy._pereyra,F,openai/gpt-4o-mini-2024-07-18
amyfayem,F,openai/gpt-4o-mini-2024-07-18
amygon7,0,openai/gpt-4o-mini-2024-07-18
amylidiamachuca,F,openai/gpt-4o-mini-2024-07-18
amyrohogar,F,openai/gpt-4o-mini-2024-07-18
an__andy,M,openai/gpt-4o-mini-2024-07-18
an_ap_anuchis,F,openai/gpt-4o-mini-2024-07-18
an_corre,0,openai/gpt-4o-mini-2024-07-18
an_d2912,0,openai/gpt-4o-mini-2024-07-18
an_de_fr71,0,openai/gpt-4o-mini-2024-07-18
an_gel.0806,M,openai/gpt-4o-mini-2024-07-18
an_gelica5641,F,openai/gpt-4o-mini-2024-07-18
an_ponzet,M,openai/gpt-4o-mini-2024-07-18
an.aaver,0,openai/gpt-4o-mini-2024-07-18
an.cata04,F,openai/gpt-4o-mini-2024-07-18
an.drea8683,F,openai/gpt-4o-mini-2024-07-18
an.inan,0,openai/gpt-4o-mini-2024-07-18
an20p21,0,openai/gpt-4o-mini-2024-07-18
an4ranjada,F,openai/gpt-4o-mini-2024-07-18
ana__m_alvarez,F,openai/gpt-4o-mini-2024-07-18
ana__silva90,F,openai/gpt-4o-mini-2024-07-18
ana_.81_,F,openai/gpt-4o-mini-2024-07-18
ana_alessandrini43,F,openai/gpt-4o-mini-2024-07-18
ana_bedonetti,F,openai/gpt-4o-mini-2024-07-18
ana_belen_frias,F,openai/gpt-4o-mini-2024-07-18
ana_besada,F,openai/gpt-4o-mini-2024-07-18
ana_biazotti,F,openai/gpt-4o-mini-2024-07-18
ana_cantante_1992,F,openai/gpt-4o-mini-2024-07-18
ana_cecilia2280,F,openai/gpt-4o-mini-2024-07-18
ana_coulomme,F,openai/gpt-4o-mini-2024-07-18
ana_delacosta,F,openai/gpt-4o-mini-2024-07-18
ana_eliza22clad,F,openai/gpt-4o-mini-2024-07-18
ana_en_el_campo,F,openai/gpt-4o-mini-2024-07-18
ana_fenix61,F,openai/gpt-4o-mini-2024-07-18
ana_ferrari_roma,F,openai/gpt-4o-mini-2024-07-18
ana_ferreira977,F,openai/gpt-4o-mini-2024-07-18
ana_heer,F,openai/gpt-4o-mini-2024-07-18
ana_landete,F,openai/gpt-4o-mini-2024-07-18
ana_lapenta,F,openai/gpt-4o-mini-2024-07-18
ana_laura_villalon,F,openai/gpt-4o-mini-2024-07-18
ana_leiton_posadas_,F,openai/gpt-4o-mini-2024-07-18
ana_lia_alvarez,F,openai/gpt-4o-mini-2024-07-18
ana_lore_delbello,F,openai/gpt-4o-mini-2024-07-18
ana_lotre,F,openai/gpt-4o-mini-2024-07-18
ana_mari.5_,F,openai/gpt-4o-mini-2024-07-18
ana_maria_aparicio6492,F,openai/gpt-4o-mini-2024-07-18
ana_maria_golovchenko,F,openai/gpt-4o-mini-2024-07-18
ana_mariiaa_v,F,openai/gpt-4o-mini-2024-07-18
ana_mitchell_,F,openai/gpt-4o-mini-2024-07-18
ana_nubile,F,openai/gpt-4o-mini-2024-07-18
ana_o_k,F,openai/gpt-4o-mini-2024-07-18
ana_penalozaa,F,openai/gpt-4o-mini-2024-07-18
ana_perrotat,F,openai/gpt-4o-mini-2024-07-18
ana_qga,F,openai/gpt-4o-mini-2024-07-18
ana_rizzii,F,openai/gpt-4o-mini-2024-07-18
ana_rodriguez999,F,openai/gpt-4o-mini-2024-07-18
ana_rukia,F,openai/gpt-4o-mini-2024-07-18
ana_sauco,F,openai/gpt-4o-mini-2024-07-18
ana_sharkey,F,openai/gpt-4o-mini-2024-07-18
ana_us31,F,openai/gpt-4o-mini-2024-07-18
ana_villagra1,F,openai/gpt-4o-mini-2024-07-18
ana_vval,F,openai/gpt-4o-mini-2024-07-18
ana.6376,F,openai/gpt-4o-mini-2024-07-18
ana.alcaladecappadonna,F,openai/gpt-4o-mini-2024-07-18
ana.bahamonde.75,F,openai/gpt-4o-mini-2024-07-18
ana.beatrizok,F,openai/gpt-4o-mini-2024-07-18
ana.benitez.10,F,openai/gpt-4o-mini-2024-07-18
ana.bonilla.927,F,openai/gpt-4o-mini-2024-07-18
ana.carrranza,F,openai/gpt-4o-mini-2024-07-18
